date,location,end,transect,bng
01/09/05,boat,start,1,SD8887266587
01/09/05,boat,end,1,SD8931366681
01/09/05,shore,start,1,SD8889266564
01/09/05,shore,end,1,SD8883566624
01/09/05,boat,start,2,SD8898367180
01/09/05,boat,end,2,SD8918866854
01/09/05,shore,start,2,SD8904867187
01/09/05,shore,end,2,SD8896267189
01/09/05,boat,start,3,SD8954466408
01/09/05,boat,end,3,SD8942266532
01/09/05,shore,start,3,SD8957666417
01/09/05,shore,end,3,SD8954066368
01/09/05,boat,start,4,SD8977766985
01/09/05,boat,end,4,SD8952466729
01/09/05,shore,start,4,SD8979966956
01/09/05,shore,end,4,SD8976467018
29/06/05,boat,start,1,SD8887266587
29/06/05,boat,end,1,SD8931366681
29/06/05,shore,start,1,SD8889266564
29/06/05,shore,end,1,SD8884266598
29/06/05,boat,start,2,SD8898367180
29/06/05,boat,end,2,SD8918866854
29/06/05,shore,start,2,SD8904867187
29/06/05,shore,end,2,SD8896267189
29/06/05,boat,start,3,SD8954466408
29/06/05,boat,end,3,SD8942266532
29/06/05,shore,start,3,SD8957666417
29/06/05,shore,end,3,SD8954066368
29/06/05,boat,start,4,SD8977766985
29/06/05,boat,end,4,SD8952466729
29/06/05,shore,start,4,SD8979966956
29/06/05,shore,end,4,SD8976467018
28/07/04,boat,start,1,SD8887266587
28/07/04,boat,end,1,SD8931366681
28/07/04,shore,start,1,SD8889266564
28/07/04,shore,end,1,SD8884266598
28/07/04,boat,start,2,SD8898367180
28/07/04,boat,end,2,SD8918866854
28/07/04,shore,start,2,SD8904867187
28/07/04,shore,end,2,SD8896267189
28/07/04,boat,start,3,SD8954466408
28/07/04,boat,end,3,SD8942266532
28/07/04,shore,start,3,SD8957666417
28/07/04,shore,end,3,SD8954066368
28/07/04,boat,start,4,SD8977766985
28/07/04,boat,end,4,SD8952466729
28/07/04,shore,start,4,SD8979966956
28/07/04,shore,end,4,SD8976467018
