Date,TpugL,Time
03/09/2014,87.8761092217856,
04/09/2014,62.4568195554,
05/09/2014,53.9803187959728,
06/09/2014,18.7138067776,
07/09/2014,22.3587632748282,
08/09/2014,31.3831870006298,
09/09/2014,18.7138067776,
10/09/2014,19.7353631063792,
11/09/2014,14.7923212326912,
12/09/2014,14.3211523179994,
13/09/2014,9.0127507515106,
14/09/2014,13.3918147104126,
15/09/2014,6.2238434567552,
16/09/2014,13.8543070418,
04/10/2014,10,08:32
04/10/2014,62,09:32
04/10/2014,10,10:32
04/10/2014,22,11:32
04/10/2014,24,12:32
04/10/2014,50,13:32
04/10/2014,10,14:32
04/10/2014,221,15:32
04/10/2014,10,16:32
04/10/2014,10,17:32
04/10/2014,96,18:32
04/10/2014,92,19:32
04/10/2014,10,20:32
04/10/2014,134,21:32
04/10/2014,10,22:32
04/10/2014,111,23:32
05/10/2014,10,00:32
05/10/2014,95,01:32
05/10/2014,69,02:32
05/10/2014,78,03:32
05/10/2014,134,04:32
05/10/2014,29,05:32
05/10/2014,10,06:32
05/10/2014,10,07:32
