Species,LMNI,Notes
Aegagropila linnaei,NA,
Callitriche cf hamulata,4.08,Is this now brutia var hamulata??
Callitriche cf platycarpa,9.5,
Callitriche stagnalis,6.38,
Chara aspera,4.19,
Chara contraria,5.06,
Chara globularis,6.86,
Chara spp.,5.57,
Chara virgata,4.29,
Chara vulgaris,5.56,
Elodea canadensis,7.45,
Fontinalis antipyretica,4.19,
Hippuris vulgaris,5.23,
Hypnum scorpioides,NA,
Littorella uniflora,3.73,
Myriophyllum spicatum,6.23,
Nitella opaca/flexilis,5.19,
Potamogeton alpinus,4.48,
Potamogeton berchtoldii,6.58,
Potamogeton crispus,7.5,
Potamogeton lucens,4.37,
Potamogeton natans,4.71,
Potamogeton pectinatus,7.19,
Potamogeton perfoliatus,4.42,
Potamogeton polygonifolius?,2.39,
Potamogeton praelongus,3.92,
Potamogeton x nitens,3.48,
Potamogeton x zizii,4.04,
Sphagnum spp.,2.74,
Tolypella glomerata,5.32,
Utricularia vulgaris agg.,3.34,
Zannichellia palustris,8.69,
